Commit SHA,Author,Date,Commit Message
f55ac1e73e396e3624f4bab1c8143622a99aafc2,,2022-01-31,update dependencies (#103)
c28f6d72bb29c6dc233aa9ac4db9ef209abd408d,Isao Kozakai,2022-01-28, Fix the issue with company settings (#102)
f1e700dd8d935b97c1a0a0e8253a6d4bc656149c,,2022-01-24,update dependencies (#101)
1baab94830ab03e3a4a4deb2e25526e2eb30b16b,,2022-01-17,update dependencies (#100)
941fa2f5a7e4288790570287fba707988e9dcdf9,,2022-01-17,chore(deps): bump follow-redirects from 1.14.3 to 1.14.7 (#99)
debfda4d0ac7ded3eb3216574d38328a903bded5,Unknown,2022-01-11,Update dependencies to latest
c02946b8d010fe16f52590bc916a9ce2099075d9,Unknown,2022-01-06,Update dependencies to latest
0aaa6615dcbb9a0a723f38a2f5521702cf9b2c16,Unknown,2021-12-14,Update dependencies to latest
013d04818902e9adf9db727c2f0b0e1643a8e9d2,Unknown,2021-12-06,update dependencies to latest
04359f4b2f9c3057e7f6edd17795f9d6d716c93c,Unknown,2021-11-30,update dependencies to latest
6d76144e260aa08ec620083da47f25aab7aae3e8,Svetlana Ivanova,2021-11-19,update dependencies to latest
160b06f6075df2a8485e247a94fcb56fa1f9f6a9,Svetlana Ivanova,2021-11-08,update dependencies to latest
f26cea612bff9a5bc81ec848d1b2a4e6887660c1,Svetlana Ivanova,2021-11-02,update dependencies to latest
4d0043f4dbf9d19d7c18a33507046645b2cdee2b,Svetlana Ivanova,2021-10-25,update dependencies to latest
89e215accc8ad68ee6b9f9db00a9b1b826e09121,Svetlana Ivanova,2021-10-04,chore: update dependencies to latest
90998577418466fe322ae788c5163c1db48edb64,,2021-09-27,update dependencies (#89)
33d42b6474ee032b186246ef295c9cf12471f222,,2021-09-27,chore(deps): bump tmpl from 1.0.4 to 1.0.5 (#86)
72bfe0c8797d6cb3a02e3fe129c43e694a4a4604,Isao Kozakai,2021-09-24,[OE-1703] As user I want to set my company's default currency in company settings (#88)
e4b0bfb3a41e07afcf7dc58c3422ce3fae3d7fe2,Isao Kozakai,2021-09-22,[OE-1784] Make accountingEmail allow empty or null (#87)
e461dbf40ec430fd73808134af4df9e43590c2df,,2021-09-20,update dependencies (#85)
513c1c0bba8d4bfd1a43ab7089fc99df41a338a7,,2021-09-20,chore(deps): bump axios from 0.21.1 to 0.21.4 (#84)
e26bbb9feeef3056ec707ac26096ab29239c0148,,2021-09-13,update dependencies (#83)
934adfbfbbb16fdb79b04d19e57f9069284a162d,,2021-09-07,update dependencies (#82)
f2023ba93758ee80de05763b478b2956dcd28b65,Isao Kozakai,2021-09-02,[OE-1484] Add billingAddress to company (#80)
5e1230b3c787bec73b726297abbda5913d65ea55,,2021-08-30,update dependencies (#81)
