Commit SHA,Author,Date,Commit Message
b7f58782ea90060a42ee5008c6e8b14a592a8c68,,2022-01-31,update dependencies (#133)
38028980902cd438b1bbede873f058477d40c293,,2022-01-31,chore(deps): bump node-fetch from 2.6.1 to 2.6.7 (#132)
564e22d8a18df0cf43c33aa428baf6e73e3a5c89,,2022-01-24,update dependencies (#131)
42d73fb1287fb91d7fa43e4dfbac04570e51ecc2,,2022-01-17,chore(deps): bump follow-redirects from 1.14.3 to 1.14.7 (#128)
34f9104e0bcdb8c062947cbfea5e01eb77f44a26,,2022-01-17,update dependencies (#129)
d9f33de2ed048c7913e7af8647c26ef7bab7efb8,Unknown,2022-01-06,Update dependencies to latest
93b4cb1b1436aa0b8e81d5ccfaab1c5322ca96a3,Isao Kozakai,2021-12-21,"[OE-1844,OE-1845] Add sendCommentAddedEmail (#126)"
2f7597e8d38bb2f3b7bedc158d2127f5e4375620,Unknown,2021-12-14,Update dependencies to latest
9ec41ff0ad621ac886c6806e96c91f2563131164,Unknown,2021-12-06,update dependencies to latest
21e5b6e1e4eda9eb49bd3c83ebd0c864606e311c,Unknown,2021-11-30,update dependencies to latest
84a72b0da98d5b6cb47f37d9be659b190ddc21fa,Svetlana Ivanova,2021-11-19,update dependencies to latest
2be170c6a5a723d0b15d970af0fc9ac5f4bbeee9,Svetlana Ivanova,2021-11-08,update dependencies to latest
e5ad6d85708e28e1dea3aafedb78090cf1911fdf,Svetlana Ivanova,2021-11-02,update dependencies to latest
4bad9dbb1578e5dfa88fc70cec9a7d98c088d933,Svetlana Ivanova,2021-10-25,update dependencies to latest
8c92cc15d7916f2e657bb86bb83c82baba2dc8a0,Svetlana Ivanova,2021-10-04,chore: update dependencies to latest
5d8f43566ca467ca79d0049620304dc68b061b3c,,2021-09-27,update dependencies (#116)
f946746193bc0771bf1fe5cbcdb1220930978a5b,,2021-09-20,update dependencies (#115)
56149cc0239c84452bb7d193e51e9fc56cd3249d,,2021-09-13,chore(deps): bump axios from 0.21.1 to 0.21.4 (#112)
c7dc967d07b27818bda99f065a3c8b6b6ac0cbc5,Svetlana Ivanova,2021-09-13,chore: update dependencies to latest
78fae8492912b0fe1d2778e032508203ee48b49d,Isao Kozakai,2021-09-09, [OE-1772] As customer I want to receive an email notification when vendor reject payment confirmation for PO invoice (#113)
2813a4ebbe6f4864bdc94dd78800d1cb869b297e,Viatcheslav Ivanov,2021-09-08,refactor: revert node-fetch to 2.6.1
0c9effebda0f7896a72865b3463d8a2da7bb13c9,Isao Kozakai,2021-09-07,first commit (#110)
30a7bc3278352b3283b2d03f1cd6b1f7618ef394,,2021-09-07,update dependencies (#111)
6526fe818fda11239baa724e272d68ecb948ca11,Isao Kozakai,2021-09-03, [OE-1662] As vendor I want to receive an email confirmation when payment confirmation is submitted for PO invoice (#109)
a23e676982869c438b6174e259c5fe866790cd61,,2021-08-30,update dependencies (#108)
e7a64fff29a4d6f81fe59fe3fb066e75a3698e79,Isao Kozakai,2021-08-25, [OE1660] As customer I want to receive an email notification when invoice is sent (opened) by vendor (#107)
26207b5e8331ada38a3e1df1c75d3a925eb439f5,,2021-08-23,update dependencies (#106)
8b2f2592d5ca9a321578ca7a54a0ac5e2e7d9171,,2021-08-16,chore(deps): bump path-parse from 1.0.6 to 1.0.7 (#104)
e863b3fecb9d985dd7948a6ec75c542069eeba7c,,2021-08-16,update dependencies (#105)
a35c0ccc0ff84c370c9a09a33e6fc8de660b4e9b,,2021-08-09,update dependencies (#103)
