Commit SHA,Author,Date,Commit Message
2ea6fb5436e8c698f0b3a3f53f5b3631c4f20bf4,,2022-01-31,update dependencies (#930)
51891f03abb2541fdcb7d0d0515d9729c44e7735,Unknown,2022-01-31,Update localizations to latest
2e282f67fa3febbb917b877811fcd6fbb91f124e,Isao Kozakai,2022-01-29,[OE-1947] Fix the bug that currency is not loaded (#929)
fe078ea8cd2633cef90a3ef0a9615278bdd0c999,Svetlana Ivanova,2022-01-27,"[OE-1926] When creating an ""Purchase Order"" the drop-down list of products dont work for some vendors"
474d692b373168325608b0d00b20ef0d05249783,Isao Kozakai,2022-01-26,"[OE-1779,OE-1783] As user I want to see my company's default currency used to calculate totals in dashboard (#927)"
ec3bb6c4607af790b303eba2f0022f8ddb29c9d9,Svetlana Ivanova,2022-01-25,[OE-1920] Pagination is not working on Analytics -> History page
7ec885da8edad32fb290f7f65ea121d5ab266b35,,2022-01-24,update dependencies (#926)
8b22da8f3fb820d3117c3795d8c25614c0fd24a3,,2022-01-24,Bump nanoid from 3.1.30 to 3.2.0 (#925)
cc7917faf85a14f6fdd279fde48f4e8b968efe14,Unknown,2022-01-24,Update localizations to latest
8ca1c0fed9afc0caa652852ea32e502b2e8c9808,Viatcheslav Ivanov,2022-01-20,chore: enable latest features by default
edc13c5410144d809672ced61f495f53e9e31bba,Viatcheslav Ivanov,2022-01-20,[OE-1930] Fix PO change management flow
88e4e4347c7d1f23d37a3dedd2fcae4208d4018c,Svetlana Ivanova,2022-01-19,[OE-1921] When clicking on Sidebar -> Analytics page is not redirected to Profile tab by default
f26e9158c0d4d763e210168e672f006265238849,,2022-01-17,update dependencies (#923)
c92022a31527c3b1f5283d2926dd541ceff4e707,,2022-01-17,Bump follow-redirects from 1.14.5 to 1.14.7 (#922)
498448dde348c067a627181cff6b0cf26fcde78d,Unknown,2022-01-17,Update localizations to latest
3df8a0498bf285b8d3b0ddb7a9311ae9277e4d5c,Isao Kozakai,2022-01-13,"[OE-1913] Blank page when clicking on any ""NCR"" (#921)"
1433dfeb3f3bac71de68157cb2131b5e5d13e4a8,,2022-01-11,update dependencies (#919)
9f39d55a38bee6359c884649df12c0588f3b9d50,Unknown,2022-01-11,Merge branch 'main' of github.com:omnae/omnae-app
9ee117e585d5599a1dd9d22b773a9f9cb6e12c77,Unknown,2022-01-11,Update localizations to latest
8d273066dd37f37a3d6180a1a884b9cbde75f8ab,Viatcheslav Ivanov,2022-01-11,fix: Submit Big page -> tooling setup cost is not allowing numbers more than 1000
390fd133f850992c8842aeee3ce7f35c3688f5b2,Isao Kozakai,2022-01-10,[OE-1758] Products Revision-> Bad data on RFQ Dashboard page/ RFQ details page (#906)
60f21f48289e07ea024835bdc9c5b1a3d61f0bc9,Isao Kozakai,2022-01-10,Fix the issue with setDraftPurchaseOrder running unnecessarily (#920)
037b2c0b9131cbf8adf08e24282166715748d34c,Unknown,2022-01-06,Update dependencies to latest
22e7a5902b32f74658ba43ee3a04591911d72c5a,Isao Kozakai,2022-01-06,Change the condition for useEffect to prevent states from getting reset (#918)
cd9c2cc47947e806f04f21b8c61dd9c7ecd209bd,Isao Kozakai,2022-01-05,Change the condition to show the action button (#917)
39dfa8b74dbd602675e4096bf238502ca64df8d3,Isao Kozakai,2022-01-05,[OE-1840] Additional change for useCallback components (#916)
048c0a858c132b929a2cfa136f9cb0d5ef393620,Isao Kozakai,2022-01-05,[OE-1840] Add a condition to trigger to re-render memoized components (#915)
4925e2ecd653752b308dbbac020f987e5d37f847,Isao Kozakai,2022-01-05,[OE-1840] Fix the rendering issue (#914)
3b6046bba9cc0ff408ae6a1e38061cd4efd43c5d,Isao Kozakai,2021-12-25,[OE-1818] Make all the item names in the pricing breakdown grey6 (#912)
a9f569abf45d7ed4416694e679e7c7f13f687452,Isao Kozakai,2021-12-24,Make loading in ProductSharesTable the same as PurchaseOrderShares (#911)
71c44707db08c54659ab1b5d728f44f5d869c00b,Isao Kozakai,2021-12-23,[OE-1840] Fix and allow eslint errors (#910)
db31a8f05f90514e9f834b7aab514b1c2cde9b02,Isao Kozakai,2021-12-22,[OE-1876] Sharee of product should not be able to share it with others (#908)
0cff9fb68869c5ecaf40cec68f2da50afbe1898e,Isao Kozakai,2021-12-22,[OE-1861] Bug fix 1 (#909)
b264d271086553eeb4d51274e2c0436b4f9c75a8,Viatcheslav Ivanov,2021-12-16,Merge branch 'main' of github.com:omnae/omnae-app into main
94e3593b421edf968516457f8fde1224c9764e38,Viatcheslav Ivanov,2021-12-16,minor refactoring
f8722cc1bb7fa0d2cfeb505e13fdf68be509f553,Unknown,2021-12-16,Update localizations to latest
1533e51c196964a3a6152768e243d149a2be9c4e,Isao Kozakai,2021-12-16,[OE-1818] General UI/UX styling fixes (#905)
