Commit SHA,Author,Date,Commit Message
616026c2a9e749a3b4bfe0bb548828a076f4a72a,Henry Ma,2022-01-31,json format
386f4525618c3c580e07c20da37d67edfc655c35,Henry Ma,2022-01-31,[OE-1952] Modified GetExchangeRates to return
94407ad0f24db08db46cfabe3906b04f496d9f0b,Henry Ma,2022-01-31,Modified Exchange rates endpoints and store data daily to database.
8af53c7df89ac209cef3389e409f8e60cafdf449,Henry Ma,2022-01-29,Created publish to Azure Omnae-BackgroundWorkers-dev deployment.
92ac249d7f10590de7db865bdeade176c4abcd96,Henry Ma,2022-01-29,Added [finance].[CurrencyExchangeRates] to store daily major exchange rates. Added Azure Function of UpdateExchangeRates job to update exchange rates in db daily.
6269127716264949932fd3ef2b5824d8dd73c1c7,Henry Ma,2022-01-26,Modified invoice counts calculation
be4df4c8831a117ffe05bf8cc1317994e5932136,Henry Ma,2022-01-25,Added ExchangeRatesApiKey to appsettings.Production.json
1e3927cfe3cd513e2229e61ca3021fd3ced42319,Henry Ma,2022-01-25,"[OE-1936], added new class of ExchangeRates for accessing exchange rate api. and added two more endpoints: api/invoices/GetExchangeRates, api/invoices/GetRatesTwoCurrencies."
6433c684284c279c919451a5e0bb95a535a3db6e,Henry Ma,2022-01-20,Minor
d81a41150fc0809fa1630b2de7a79db14246f447,Henry Ma,2022-01-20,Modified InvoicesStatistics to make it more efficient - reduced computing time.
39bea82f79c8dee5c17d02791f93d1b80ed8e2ab,Henry Ma,2022-01-20,Refactor IsCustomerExists to suit backward changes.
546933382dfd465c3d0e7c268383488a298b21de,Henry Ma,2022-01-19,Fixed a bug in IsVendorExistsMyQboAccount when both myCompanyId and vendorId is same.
8c0b42e81bccf8f6e7b113e58b3ddbc23d90978d,Henry Ma,2022-01-19,Using ItemBasedExpenseLineDetail instead of AccountBasedExpenseLineDetail for Bill detail.
522e1cee32e1c464850e6ed2ff79d19e80c597bb,Henry Ma,2022-01-19,[OE-1790] Modified InvoicesStatistics for convert from currency A to currency B
74edcaa43af779c3ed4011d31e17dfb5931fb8c5,Henry Ma,2022-01-18,"[OE-1929] Added currency for input structure of InvoiceForManipulationDto in endpoint of api/invoices/AddInvoice, [OE-1790] modified endpoint of api/invoices/InvoicesStatistics by modified input to allow ConvertToCurrency as one of input parameters. And its related adding two more api calling methods GetCustomerRelatedCurrencies and UpdateCreditRelationshipCurrency to calling Core Service endpoints."
7dcd38d0d467ab69acd3054d8f1f3e9f2d634539,Henry Ma,2022-01-14,"[OE-1980], set QBO invoicenumber to Omnae' invoiceNumber."
a0f55b1192af230b3ec5a85c75eb5cb1e4892d34,Henry Ma,2022-01-13,Refactor
fb07fd380285a596a82f63bf99634272cb96e7db,Henry Ma,2022-01-08,minor
