Commit SHA,Author,Date,Commit Message
283e00d231cfbfb28836ed71aaa97ea956d78a54,Henry Ma,2022-01-21,Created customer and vendor relationship in [CompaniesCreditRelationships] table if it is not exists in AddExistingProduct
f89cbc09f62e1c9130c42059a92c3682ae21ed89,Henry Ma,2022-01-20,"Merge pull request #1929 from omnae/staging

Merged from Staging"
a3cb33ccc10c5e3420ee71bf9c9ecd88655ff748,Henry Ma,2022-01-19,Modified signature of UpdateCreditRelationshipCurrency endpoint
6417a38a1ad3a93c7570630278f3e4d2760f81bf,Henry Ma,2022-01-18,Refactor UpdateCreditRelationshipCurrency parameter types to suit to be called.
a399f858f81da9546a1677cdf6e62df5fbdc0427,Henry Ma,2022-01-18,Minor
f0e3de8d737306c39ba63d19d68bbc3c840e93d6,Henry Ma,2022-01-18,Made endpoint of UpdateCreditRelationshipCurrency async
e581d4c871033e3191b7e3bebb0281c1e6c89ed1,Henry Ma,2022-01-18,Added new endpoint of UpdateCreditRelationshipCurrency to update/add entry of CompaniesCreditRelationship
e28e90c086e346479b29ea46abe6936b8355773a,Henry Ma,2022-01-18,Added new endpoint of GetCustomerCurrencies to get list of customer/vendor related currencies.
bed3096c12a7458c810b6073ed62a1f67dc848c4,Henry Ma,2022-01-14,[OE-1910] Modified CreateProductShare to avoid customer/vendor pair already existing.
f076949563934916bc3dc866afd0450c6fd2f618,Henry Ma,2022-01-10,"[OE-1905], modified products/customer/{userId}/products/{vendorId:int} to allow filtered by partNuberRevision."
5dce2a2464e309966fec19255f164ccb7d9373e6,Henry Ma,2022-01-07,Bug fixing
deaa0dcb6846924c37afb942cf3fb27d9c704a80,Henry Ma,2022-01-07,[OE-1884] fixed a bug in calling GetCustomerRFQs()
dd23fa7e02908ac635f144804d337caf875d8fb8,Henry Ma,2022-01-07,"[OE-1884], fixed bug that return enpty from api/rfqs/12764?companyId=897&type=1"
4dbb731c5e01d652445eaf2c3708aeb5de4c6702,Henry Ma,2022-01-06,"Merge pull request #1928 from omnae/staging

Merged from Staging"
5dc3ede6323ee23834de091f5e106ec6bb7cd048,Henry Ma,2022-01-04,"[OE-1893], fixed the bug which caused the null referencing."
96869dcbe113b1e8716f84ebdf91478eebd179ab,Henry Ma,2021-12-19,Modified to set date time to new product revision.
d9437aa041d68bc936f5a421c425c3962fdefaf1,Henry Ma,2021-12-18,Bug fixing
