Commit SHA,Author,Date,Commit Message
cc4494391c56dffe77c1bd5aae8a89c297e080c1,,2022-01-31,update dependencies (#124)
adc6aa5d97701582486c356924c99716def13e22,,2022-01-31,Bump node-fetch from 2.6.1 to 2.6.7 (#121)
1569eb0e183d4eaf13a76d14fb747247677d9bad,Isao Kozakai,2022-01-27,[OE-1826] Refactor getProductPriceBreaks (#123)
3f943c7f7f96f4048b9df75f7cb6a26bfd36aee5,Isao Kozakai,2022-01-26,[OE-1826] Add latest price quote to product based on vendor and replace all usages (#122)
e07e193e2e5a23253380b521ddcda6956d24b60b,,2022-01-24,update dependencies (#120)
81359f2c8f5e350d9c82d370c10bb11041d09f8b,,2022-01-17,update dependencies (#117)
17004a46882a183b085525bb603d65bb582cdada,,2022-01-17,Bump follow-redirects from 1.14.3 to 1.14.7 (#116)
acc5550bbb20f24b87126c7cfc025e78b57a8f57,Unknown,2022-01-06,Update dependencies to latest
0d1369a5ce82443158eb9a7f9b4e0c4f15e6333d,Isao Kozakai,2021-12-24,[OE-1876] Sharee of product should not be able to share it with others (#114)
2b008e460fbd654b015039edefe0e4539ec1e7ad,Unknown,2021-12-14,Update dependencies to latest
8f0cd372f1473455dd788cee9ae82213601a633b,Unknown,2021-12-06,update dependencies to latest
03ce58228743c77e0aa026ab1545d66ed40579a8,Unknown,2021-11-30,update dependencies to latest
232937a4ba4bf1170cbdb3ab0c7c4e47ffbcc9a3,Svetlana Ivanova,2021-11-19,update dependencies to latest
a4c7bdc205987433b8b561fad98df495c55c6184,Svetlana Ivanova,2021-11-08,update dependencies to latest
66300e9e968f5360fcd884afaa9772c034e2d533,Isao Kozakai,2021-11-08,Add description to type Product (#107)
21bf0e6c0da40b904e055db1d5e73509b1b74f56,Svetlana Ivanova,2021-11-02,update dependencies to latest
3d88dde59857707d06ea0605044924c74cfa7eb0,Svetlana Ivanova,2021-10-25,update dependencies to latest
3aa08403923bbdde3215af378fb4473cfef13cc8,Svetlana Ivanova,2021-10-06,fix: handle multiple queries error from Mongoose
797de56083794e6fb08b3188c1a01c0a6a94d057,Svetlana Ivanova,2021-10-04,chore: update dependencies to latest
cf14e9adc6eec9a649731369b71c01163b570622,Isao Kozakai,2021-09-27,Make vendorCompanyId nullable (#100)
3adbbbf029a3cfa8b0254f1722a9d86f31a27a84,,2021-09-27,update dependencies (#101)
707ecdd5a04dd2863f4227bf9c73be9836ea706b,,2021-09-27,Bump tmpl from 1.0.4 to 1.0.5 (#99)
